IdService;IdSecteur;Region;Territoire;Secteur;IdCop;AnneeService;MoisService;SemaineService;JourService;DateService;CodeVehicule;LibelleVehicule;CodeTypeVehicule;LibTypeVehicule;CodeService;LibelleService;CodeSecteur;NumeroTour;LibelleAgence;CodeActivite;ContratLibelle;NbVidage;TempsCollecteHorsInterruption;TempsPause;TempsHLPHorsInterruption;TempsTotalHorsInterruption;KmCollecte;KmHLP;KmTotal;CodeDechet;Tonnage;TonnageHeureCollecte;DATEDEBUT
1033904234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;4;15;LUNDI;06/04/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,9;0,38;0,4;7,3;96;5;101;OM;3,66;0,53;06/04/2020 05:32
998840234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;10;40;MERCREDI;02/10/2019;R10615;R10615  BOM BICOMP 26T 139CGR44;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,82;0,35;1,32;7,13;80;26;106;OM;4,34;0,75;02/10/2019 05:38
1074148234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;9;39;LUNDI;21/09/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,28;0,38;0,83;7,12;88;6;94;PC+PL+ME;1,16;0,18;21/09/2020 05:53
1082196234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;11;45;JEUDI;05/11/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,58;0,48;0,78;7,37;50;3;53;OM;6,16;0,94;05/11/2020 05:40
1022602234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;2;6;MERCREDI;05/02/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,87;0,33;1,23;7,1;80;26;106;OM;4,36;0,74;05/02/2020 05:39
1019727234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;1;3;MERCREDI;15/01/2020;R10838;R10838  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;8,92;0,38;0,47;9,38;142;11;153;PC+PL+ME;1,16;0,13;15/01/2020 05:42
1015321234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;12;52;JEUDI;26/12/2019;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;4,72;;2,17;6,88;77;25;102;PC+PL+ME;0,78;0,17;26/12/2019 05:31
1061287234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;9;36;MERCREDI;02/09/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,02;0,38;0,93;5,95;72;22;94;OM;4,32;0,86;02/09/2020 05:25
968497234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;7;27;LUNDI;01/07/2019;R10723;R10723;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,38;0,37;0,65;7,03;87;6;93;OM;3,52;0,55;01/07/2019 05:20
997326234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;9;39;MARDI;24/09/2019;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;7,33;0,38;1,52;8,85;127;17;144;PC+PL+ME;1,16;0,16;24/09/2019 05:31
